dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
02M630,ART AND DESIGN HIGH SCHOOL,850641,270.0,444.0,441.0,430.0,85.0,
02M655,LIFE SCIENCES SECONDARY SCHOOL,885497,61.0,409.0,424.0,403.0,92.0,2.0
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,413786,27.0,406.0,379.0,408.0,85.0,3.0
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",737942,49.0,374.0,384.0,374.0,,1.0
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",448562,41.0,384.0,390.0,370.0,78.0,4.0
03M404,INNOVATION DIPLOMA PLUS,954823,12.0,416.0,403.0,381.0,92.0,4.0
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,365679,32.0,371.0,,370.0,78.0,4.0
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,731158,131.0,370.0,390.0,358.0,,4.0
03M479,BEACON HIGH SCHOOL,678328,261.0,577.0,575.0,592.0,92.0,2.0
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,567972,531.0,566.0,564.0,577.0,92.0,3.0
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",778640,66.0,396.0,398.0,402.0,92.0,2.0
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,921952,75.0,433.0,433.0,411.0,85.0,1.0
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,635847,35.0,401.0,369.0,351.0,92.0,3.0
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,955192,111.0,473.0,506.0,467.0,78.0,2.0
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,503561,43.0,356.0,379.0,361.0,92.0,2.0
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,379117,48.0,354.0,357.0,373.0,92.0,3.0
