dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,806744,41.0,407.0,386.0,396.0,,3.0
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,445223,144.0,364.0,379.0,371.0,78.0,4.0
14K477,SCHOOL FOR LEGAL STUDIES,809381,134.0,413.0,396.0,395.0,78.0,1.0
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",758599,142.0,398.0,421.0,396.0,78.0,4.0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,954096,42.0,367.0,373.0,350.0,78.0,4.0
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,887022,72.0,363.0,385.0,364.0,,4.0
14K561,WILLIAMSBURG PREPARATORY SCHOOL,515769,113.0,397.0,410.0,380.0,85.0,2.0
14K586,LYONS COMMUNITY SCHOOL,205730,31.0,371.0,377.0,355.0,92.0,1.0
14K610,AUTOMOTIVE HIGH SCHOOL,168856,94.0,367.0,376.0,350.0,85.0,3.0
14K632,FRANCES PERKINS ACADEMY,770235,12.0,382.0,372.0,368.0,78.0,3.0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,688392,28.0,359.0,335.0,341.0,92.0,4.0
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,718798,52.0,361.0,367.0,383.0,92.0,1.0
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,724775,76.0,393.0,399.0,387.0,,3.0
15K462,SECONDARY SCHOOL FOR LAW,637125,59.0,398.0,411.0,394.0,,3.0
15K463,SECONDARY SCHOOL FOR JOURNALISM,702205,58.0,397.0,391.0,381.0,,4.0
15K464,PARK SLOPE COLLEGIATE,681987,72.0,379.0,416.0,380.0,85.0,1.0
15K497,SCHOOL FOR INTERNATIONAL STUDIES,713236,64.0,405.0,415.0,392.0,85.0,4.0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,716876,77.0,398.0,402.0,385.0,,
15K520,PACIFIC HIGH SCHOOL,619586,9.0,352.0,341.0,300.0,92.0,4.0
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,660911,28.0,368.0,365.0,368.0,85.0,4.0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,642190,141.0,426.0,,411.0,,
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,203427,8.0,430.0,416.0,425.0,92.0,2.0
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,773581,20.0,355.0,355.0,358.0,,4.0
16K455,BOYS AND GIRLS HIGH SCHOOL,573714,131.0,365.0,370.0,362.0,78.0,4.0
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,669948,46.0,362.0,372.0,358.0,78.0,2.0
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,147508,36.0,370.0,372.0,351.0,,2.0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,641887,59.0,396.0,374.0,369.0,92.0,4.0
17K408,ACADEMY OF HOSPITALITY AND TOURISM,770770,57.0,352.0,342.0,351.0,85.0,3.0
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,974876,7.0,394.0,364.0,334.0,85.0,1.0
